"","Reason","year","Age","Male","Female","Total"
"5137","Visiting and Joining Family",2002,"18 s",5,11,16
"5138","Visiting and Joining Family",2003,"18 s",19,39,58
"5139","Visiting and Joining Family",2004,"18 s",48,31,79
"5140","Visiting and Joining Family",2005,"18 s",104,124,228
"5141","Visiting and Joining Family",2006,"18 s",199,191,390
"5142","Visiting and Joining Family",2007,"18 s",233,248,481
"5143","Visiting and Joining Family",2008,"18 s",247,229,476
"5144","Visiting and Joining Family",2009,"18 s",191,164,355
"5145","Visiting and Joining Family",2010,"18 s",240,216,456
"5146","Visiting and Joining Family",2011,"18 s",125,97,222
"5147","Visiting and Joining Family",2012,"18 s",64,46,110
"5148","Visiting and Joining Family",2013,"18 s",43,39,82
"5149","Visiting and Joining Family",2014,"18 s",22,29,51
"5150","Visiting and Joining Family",2015,"18 s",29,34,63
"5151","Visiting and Joining Family",2016,"18 s",24,28,52
"5152","Visiting and Joining Family",2017,"18 s",29,25,54
"5153","Visiting and Joining Family",2018,"18 s",30,25,55
"5154","Visiting and Joining Family",2019,"18 s",27,37,64
"5155","Overseas Koreans",2000,"18 s",4,1,5
"5156","Overseas Koreans",2001,"18 s",1,5,6
"5157","Overseas Koreans",2002,"18 s",1,5,6
"5158","Overseas Koreans",2003,"18 s",8,3,11
"5159","Overseas Koreans",2004,"18 s",3,4,7
"5160","Overseas Koreans",2005,"18 s",4,4,8
"5161","Overseas Koreans",2006,"18 s",6,2,8
"5162","Overseas Koreans",2007,"18 s",7,11,18
"5163","Overseas Koreans",2008,"18 s",6,11,17
"5164","Overseas Koreans",2009,"18 s",18,12,30
"5165","Overseas Koreans",2010,"18 s",34,33,67
"5166","Overseas Koreans",2011,"18 s",47,27,74
"5167","Overseas Koreans",2012,"18 s",41,27,68
"5168","Overseas Koreans",2013,"18 s",27,27,54
"5169","Overseas Koreans",2014,"18 s",35,35,70
"5170","Overseas Koreans",2015,"18 s",33,25,58
"5171","Overseas Koreans",2016,"18 s",36,42,78
"5172","Overseas Koreans",2017,"18 s",52,43,95
"5173","Overseas Koreans",2018,"18 s",35,42,77
"5174","Overseas Koreans",2019,"18 s",30,47,77
"5175","Permanent Residence",2000,"18 s",0,0,0
"5176","Permanent Residence",2001,"18 s",0,0,0
"5177","Permanent Residence",2002,"18 s",0,0,0
"5178","Permanent Residence",2003,"18 s",2,3,5
"5179","Permanent Residence",2004,"18 s",1,1,2
"5180","Permanent Residence",2005,"18 s",5,4,9
"5181","Permanent Residence",2006,"18 s",1,5,6
"5182","Permanent Residence",2007,"18 s",1,2,3
"5183","Permanent Residence",2008,"18 s",6,5,11
"5184","Permanent Residence",2009,"18 s",6,2,8
"5185","Permanent Residence",2010,"18 s",2,9,11
"5186","Permanent Residence",2011,"18 s",5,2,7
"5187","Permanent Residence",2012,"18 s",4,1,5
"5188","Permanent Residence",2013,"18 s",7,6,13
"5189","Permanent Residence",2014,"18 s",7,7,14
"5190","Permanent Residence",2015,"18 s",8,5,13
"5191","Permanent Residence",2016,"18 s",6,4,10
"5192","Permanent Residence",2017,"18 s",6,2,8
"5193","Permanent Residence",2018,"18 s",2,1,3
"5194","Permanent Residence",2019,"18 s",3,2,5
"5195","Marriage Immigration",2011,"18 s",NA,42,42
"5196","Marriage Immigration",2012,"18 s",1,783,784
"5197","Marriage Immigration",2013,"18 s",0,624,624
"5198","Marriage Immigration",2014,"18 s",0,398,398
"5199","Marriage Immigration",2015,"18 s",0,181,181
"5200","Marriage Immigration",2016,"18 s",0,285,285
"5201","Marriage Immigration",2017,"18 s",0,282,282
"5202","Marriage Immigration",2018,"18 s",0,373,373
"5203","Marriage Immigration",2019,"18 s",0,468,468
"5204","Total",2000,"19 s",1302,1824,3126
"5205","Total",2001,"19 s",1296,1849,3145
"5206","Total",2002,"19 s",1454,2051,3505
"5207","Total",2003,"19 s",1225,1598,2823
"5208","Total",2004,"19 s",1455,1987,3442
"5209","Total",2005,"19 s",2320,2986,5306
"5210","Total",2006,"19 s",3726,4853,8579
"5211","Total",2007,"19 s",4717,5972,10689
"5212","Total",2008,"19 s",4935,5612,10547
"5213","Total",2009,"19 s",3150,4680,7830
"5214","Total",2010,"19 s",3056,4806,7862
"5215","Total",2011,"19 s",3773,4232,8005
"5216","Total",2012,"19 s",3691,4388,8079
"5217","Total",2013,"19 s",3366,4476,7842
"5218","Total",2014,"19 s",3443,5075,8518
"5219","Total",2015,"19 s",3808,5461,9269
"5220","Total",2016,"19 s",4576,6512,11088
"5221","Total",2017,"19 s",5901,7331,13232
"5222","Total",2018,"19 s",7148,8099,15247
"5223","Total",2019,"19 s",6428,7940,14368
"5224","Sightseeing Pass",2000,"19 s",93,79,172
"5225","Sightseeing Pass",2001,"19 s",146,109,255
"5226","Sightseeing Pass",2002,"19 s",174,130,304
"5227","Sightseeing Pass",2003,"19 s",77,79,156
"5228","Sightseeing Pass",2004,"19 s",84,92,176
"5229","Sightseeing Pass",2005,"19 s",61,87,148
"5230","Sightseeing Pass",2006,"19 s",94,99,193
"5231","Sightseeing Pass",2007,"19 s",88,111,199
"5232","Sightseeing Pass",2008,"19 s",122,148,270
"5233","Sightseeing Pass",2009,"19 s",192,173,365
"5234","Sightseeing Pass",2010,"19 s",277,246,523
"5235","Sightseeing Pass",2011,"19 s",218,197,415
"5236","Sightseeing Pass",2012,"19 s",176,206,382
"5237","Sightseeing Pass",2013,"19 s",146,156,302
"5238","Sightseeing Pass",2014,"19 s",152,145,297
"5239","Sightseeing Pass",2015,"19 s",201,172,373
"5240","Sightseeing Pass",2016,"19 s",158,142,300
"5241","Sightseeing Pass",2017,"19 s",123,124,247
"5242","Sightseeing Pass",2018,"19 s",145,152,297
"5243","Sightseeing Pass",2019,"19 s",79,114,193
"5244","Short-term Business",2000,"19 s",62,21,83
"5245","Short-term Business",2001,"19 s",86,47,133
"5246","Short-term Business",2002,"19 s",43,48,91
"5247","Short-term Business",2003,"19 s",31,29,60
"5248","Short-term Business",2004,"19 s",33,21,54
"5249","Short-term Business",2005,"19 s",30,32,62
"5250","Short-term Business",2006,"19 s",70,48,118
"5251","Short-term Business",2007,"19 s",92,59,151
"5252","Short-term Business",2008,"19 s",60,36,96
"5253","Short-term Business",2009,"19 s",33,4,37
"5254","Short-term Business",2010,"19 s",18,4,22
"5255","Short-term Business",2011,"19 s",16,NA,16
"5256","Short-term Visitors",2000,"19 s",238,218,456
"5257","Short-term Visitors",2001,"19 s",209,166,375
"5258","Short-term Visitors",2002,"19 s",359,295,654
"5259","Short-term Visitors",2003,"19 s",251,213,464
"5260","Short-term Visitors",2004,"19 s",249,168,417
"5261","Short-term Visitors",2005,"19 s",178,195,373
"5262","Short-term Visitors",2006,"19 s",392,322,714
"5263","Short-term Visitors",2007,"19 s",359,339,698
"5264","Short-term Visitors",2008,"19 s",240,246,486
"5265","Short-term Visitors",2009,"19 s",115,134,249
"5266","Short-term Visitors",2010,"19 s",174,153,327
"5267","Short-term Visitors",2011,"19 s",245,234,479
"5268","Short-term Visitors",2012,"19 s",401,290,691
"5269","Short-term Visitors",2013,"19 s",432,289,721
"5270","Short-term Visitors",2014,"19 s",326,279,605
"5271","Short-term Visitors",2015,"19 s",363,326,689
"5272","Short-term Visitors",2016,"19 s",266,266,532
"5273","Short-term Visitors",2017,"19 s",290,249,539
"5274","Short-term Visitors",2018,"19 s",433,275,708
"5275","Short-term Visitors",2019,"19 s",305,229,534
"5276","Short-term Employment",2000,"19 s",1,3,4
"5277","Short-term Employment",2001,"19 s",2,3,5
"5278","Short-term Employment",2002,"19 s",1,10,11
"5279","Short-term Employment",2003,"19 s",7,11,18
"5280","Short-term Employment",2004,"19 s",3,11,14
"5281","Short-term Employment",2005,"19 s",4,9,13
"5282","Short-term Employment",2006,"19 s",12,11,23
"5283","Short-term Employment",2007,"19 s",10,10,20
"5284","Short-term Employment",2008,"19 s",12,11,23
"5285","Short-term Employment",2009,"19 s",2,8,10
"5286","Short-term Employment",2010,"19 s",3,3,6
"5287","Short-term Employment",2011,"19 s",4,5,9
"5288","Short-term Employment",2012,"19 s",3,4,7
"5289","Short-term Employment",2013,"19 s",0,2,2
"5290","Short-term Employment",2014,"19 s",2,3,5
"5291","Short-term Employment",2015,"19 s",2,1,3
"5292","Short-term Employment",2016,"19 s",1,2,3
"5293","Short-term Employment",2017,"19 s",2,7,9
"5294","Short-term Employment",2018,"19 s",2,0,2
"5295","Short-term Employment",2019,"19 s",0,2,2
"5296","Job Seeking",2000,"19 s",0,0,0
"5297","Job Seeking",2001,"19 s",0,0,0
"5298","Job Seeking",2002,"19 s",0,0,0
"5299","Job Seeking",2003,"19 s",0,0,0
"5300","Job Seeking",2004,"19 s",0,0,0
"5301","Job Seeking",2005,"19 s",0,0,0
"5302","Job Seeking",2006,"19 s",0,0,0
"5303","Job Seeking",2007,"19 s",0,0,0
"5304","Job Seeking",2008,"19 s",0,0,0
"5305","Job Seeking",2009,"19 s",0,0,0
"5306","Job Seeking",2010,"19 s",0,0,0
"5307","study",2000,"19 s",34,42,76
"5308","study",2001,"19 s",50,83,133
"5309","study",2002,"19 s",91,148,239
"5310","study",2003,"19 s",125,197,322
"5311","study",2004,"19 s",322,383,705
"5312","study",2005,"19 s",529,597,1126
"5313","study",2006,"19 s",968,1113,2081
"5314","study",2007,"19 s",1208,1324,2532
"5315","study",2008,"19 s",828,1204,2032
"5316","study",2009,"19 s",837,1269,2106
"5317","study",2010,"19 s",645,1298,1943
"5318","study",2011,"19 s",434,1047,1481
"5319","study",2012,"19 s",447,1013,1460
"5320","study",2013,"19 s",468,1461,1929
"5321","study",2014,"19 s",596,1982,2578
"5322","study",2015,"19 s",717,2129,2846
"5323","study",2016,"19 s",873,2593,3466
"5324","study",2017,"19 s",1022,2833,3855
"5325","study",2018,"19 s",1387,3267,4654
"5326","study",2019,"19 s",1406,3077,4483
"5327","General Trainees",2000,"19 s",34,41,75
"5328","General Trainees",2001,"19 s",64,88,152
"5329","General Trainees",2002,"19 s",79,56,135
"5330","General Trainees",2003,"19 s",107,90,197
"5331","General Trainees",2004,"19 s",260,197,457
"5332","General Trainees",2005,"19 s",371,350,721
"5333","General Trainees",2006,"19 s",1013,838,1851
"5334","General Trainees",2007,"19 s",1828,1451,3279
"5335","General Trainees",2008,"19 s",1636,1374,3010
"5336","General Trainees",2009,"19 s",1115,1020,2135
"5337","General Trainees",2010,"19 s",968,913,1881
"5338","General Trainees",2011,"19 s",999,909,1908
"5339","General Trainees",2012,"19 s",871,920,1791
"5340","General Trainees",2013,"19 s",950,971,1921
"5341","General Trainees",2014,"19 s",1119,1322,2441
"5342","General Trainees",2015,"19 s",1265,1461,2726
"5343","General Trainees",2016,"19 s",1931,2028,3959
"5344","General Trainees",2017,"19 s",2809,2368,5177
"5345","General Trainees",2018,"19 s",3144,2493,5637
"5346","General Trainees",2019,"19 s",2892,2617,5509
"5347","Religious Activities",2000,"19 s",168,5,173
"5348","Religious Activities",2001,"19 s",164,8,172
"5349","Religious Activities",2002,"19 s",158,5,163
"5350","Religious Activities",2003,"19 s",144,7,151
"5351","Religious Activities",2004,"19 s",115,6,121
"5352","Religious Activities",2005,"19 s",131,3,134
"5353","Religious Activities",2006,"19 s",125,5,130
"5354","Religious Activities",2007,"19 s",144,4,148
"5355","Religious Activities",2008,"19 s",124,4,128
"5356","Religious Activities",2009,"19 s",87,4,91
"5357","Religious Activities",2010,"19 s",77,4,81
"5358","Religious Activities",2011,"19 s",74,3,77
"5359","Religious Activities",2012,"19 s",131,220,351
"5360","Religious Activities",2013,"19 s",138,48,186
"5361","Religious Activities",2014,"19 s",72,40,112
"5362","Religious Activities",2015,"19 s",45,71,116
"5363","Religious Activities",2016,"19 s",56,56,112
"5364","Religious Activities",2017,"19 s",29,67,96
"5365","Religious Activities",2018,"19 s",26,50,76
"5366","Religious Activities",2019,"19 s",21,57,78
"5367","Investors",2000,"19 s",2,2,4
"5368","Investors",2001,"19 s",2,1,3
"5369","Investors",2002,"19 s",1,1,2
"5370","Investors",2003,"19 s",0,0,0
"5371","Investors",2004,"19 s",0,0,0
"5372","Investors",2005,"19 s",0,0,0
"5373","Investors",2006,"19 s",1,0,1
"5374","Investors",2007,"19 s",0,1,1
"5375","Investors",2008,"19 s",1,0,1
"5376","Investors",2009,"19 s",0,0,0
"5377","Investors",2010,"19 s",1,0,1
"5378","Investors",2011,"19 s",2,NA,2
"5379","Investors",2018,"19 s",1,0,1
"5380","Trade and Business",2000,"19 s",0,0,0
"5381","Trade and Business",2001,"19 s",0,1,1
"5382","Trade and Business",2002,"19 s",0,0,0
"5383","Trade and Business",2003,"19 s",0,0,0
"5384","Trade and Business",2004,"19 s",1,0,1
"5385","Trade and Business",2005,"19 s",0,0,0
"5386","Trade and Business",2006,"19 s",1,0,1
"5387","Trade and Business",2007,"19 s",0,1,1
"5388","Trade and Business",2008,"19 s",1,0,1
"5389","Trade and Business",2009,"19 s",0,0,0
"5390","Trade and Business",2010,"19 s",0,0,0
"5391","Trade and Business",2011,"19 s",1,NA,1
"5392","Trade and Business",2012,"19 s",1,NA,1
"5393","Trade and Business",2013,"19 s",1,0,1
"5394","Trade and Business",2014,"19 s",0,1,1
"5395","Research",2000,"19 s",0,0,0
"5396","Research",2001,"19 s",0,0,0
"5397","Research",2002,"19 s",0,0,0
"5398","Research",2003,"19 s",0,1,1
"5399","Research",2004,"19 s",0,1,1
"5400","Research",2005,"19 s",0,0,0
"5401","Research",2006,"19 s",0,0,0
"5402","Research",2007,"19 s",0,1,1
"5403","Research",2008,"19 s",0,0,0
"5404","Research",2009,"19 s",0,0,0
"5405","Research",2010,"19 s",0,0,0
"5406","Art and Entertainment",2000,"19 s",18,471,489
"5407","Art and Entertainment",2001,"19 s",24,438,462
"5408","Art and Entertainment",2002,"19 s",19,311,330
"5409","Art and Entertainment",2003,"19 s",16,159,175
"5410","Art and Entertainment",2004,"19 s",20,151,171
"5411","Art and Entertainment",2005,"19 s",48,244,292
"5412","Art and Entertainment",2006,"19 s",31,146,177
"5413","Art and Entertainment",2007,"19 s",25,139,164
"5414","Art and Entertainment",2008,"19 s",21,132,153
"5415","Art and Entertainment",2009,"19 s",17,148,165
"5416","Art and Entertainment",2010,"19 s",22,91,113
"5417","Art and Entertainment",2011,"19 s",21,46,67
"5418","Art and Entertainment",2012,"19 s",20,55,75
"5419","Art and Entertainment",2013,"19 s",16,76,92
"5420","Art and Entertainment",2014,"19 s",24,86,110
"5421","Art and Entertainment",2015,"19 s",21,76,97
"5422","Art and Entertainment",2016,"19 s",23,34,57
"5423","Art and Entertainment",2017,"19 s",12,21,33
"5424","Art and Entertainment",2018,"19 s",18,16,34
"5425","Art and Entertainment",2019,"19 s",24,25,49
"5426","Unskilled Employment",2000,"19 s",0,0,0
"5427","Unskilled Employment",2001,"19 s",0,0,0
"5428","Unskilled Employment",2002,"19 s",0,0,0
"5429","Unskilled Employment",2003,"19 s",3,2,5
"5430","Unskilled Employment",2004,"19 s",17,5,22
"5431","Unskilled Employment",2005,"19 s",609,113,722
"5432","Unskilled Employment",2006,"19 s",573,35,608
"5433","Unskilled Employment",2007,"19 s",427,107,534
"5434","Unskilled Employment",2008,"19 s",1191,105,1296
"5435","Unskilled Employment",2009,"19 s",385,32,417
"5436","Unskilled Employment",2010,"19 s",376,37,413
"5437","Unskilled Employment",2011,"19 s",1343,163,1506
"5438","Unskilled Employment",2012,"19 s",1323,163,1486
"5439","Unskilled Employment",2013,"19 s",910,152,1062
"5440","Unskilled Employment",2014,"19 s",690,112,802
"5441","Unskilled Employment",2015,"19 s",901,172,1073
"5442","Unskilled Employment",2016,"19 s",829,161,990
"5443","Unskilled Employment",2017,"19 s",638,152,790
"5444","Unskilled Employment",2018,"19 s",850,84,934
"5445","Unskilled Employment",2019,"19 s",795,70,865
"5446","Visiting and Joining Family",2000,"19 s",6,15,21
"5447","Visiting and Joining Family",2001,"19 s",6,12,18
"5448","Visiting and Joining Family",2002,"19 s",6,26,32
"5449","Visiting and Joining Family",2003,"19 s",11,31,42
"5450","Visiting and Joining Family",2004,"19 s",38,50,88
"5451","Visiting and Joining Family",2005,"19 s",102,106,208
"5452","Visiting and Joining Family",2006,"19 s",184,163,347
"5453","Visiting and Joining Family",2007,"19 s",281,260,541
"5454","Visiting and Joining Family",2008,"19 s",299,211,510
"5455","Visiting and Joining Family",2009,"19 s",201,166,367
"5456","Visiting and Joining Family",2010,"19 s",299,273,572
"5457","Visiting and Joining Family",2011,"19 s",143,114,257
"5458","Visiting and Joining Family",2012,"19 s",69,56,125
"5459","Visiting and Joining Family",2013,"19 s",45,42,87
"5460","Visiting and Joining Family",2014,"19 s",21,17,38
"5461","Visiting and Joining Family",2015,"19 s",11,22,33
"5462","Visiting and Joining Family",2016,"19 s",10,18,28
"5463","Visiting and Joining Family",2017,"19 s",11,25,36
"5464","Visiting and Joining Family",2018,"19 s",25,35,60
"5465","Visiting and Joining Family",2019,"19 s",22,26,48
"5466","Overseas Koreans",2000,"19 s",4,3,7
"5467","Overseas Koreans",2001,"19 s",11,8,19
"5468","Overseas Koreans",2002,"19 s",14,9,23
"5469","Overseas Koreans",2003,"19 s",6,8,14
"5470","Overseas Koreans",2004,"19 s",8,8,16
"5471","Overseas Koreans",2005,"19 s",6,7,13
"5472","Overseas Koreans",2006,"19 s",10,12,22
"5473","Overseas Koreans",2007,"19 s",8,17,25
"5474","Overseas Koreans",2008,"19 s",18,19,37
"5475","Overseas Koreans",2009,"19 s",34,12,46
"5476","Overseas Koreans",2010,"19 s",44,39,83
"5477","Overseas Koreans",2011,"19 s",64,58,122
"5478","Overseas Koreans",2012,"19 s",68,55,123
"5479","Overseas Koreans",2013,"19 s",53,50,103
"5480","Overseas Koreans",2014,"19 s",49,57,106
"5481","Overseas Koreans",2015,"19 s",59,74,133
"5482","Overseas Koreans",2016,"19 s",62,83,145
"5483","Overseas Koreans",2017,"19 s",64,59,123
"5484","Overseas Koreans",2018,"19 s",59,50,109
"5485","Overseas Koreans",2019,"19 s",67,51,118
"5486","Permanent Residence",2000,"19 s",0,0,0
"5487","Permanent Residence",2001,"19 s",0,0,0
"5488","Permanent Residence",2002,"19 s",1,0,1
"5489","Permanent Residence",2003,"19 s",1,1,2
"5490","Permanent Residence",2004,"19 s",1,3,4
"5491","Permanent Residence",2005,"19 s",0,2,2
"5492","Permanent Residence",2006,"19 s",2,5,7
"5493","Permanent Residence",2007,"19 s",2,2,4
"5494","Permanent Residence",2008,"19 s",5,3,8
"5495","Permanent Residence",2009,"19 s",7,3,10
"5496","Permanent Residence",2010,"19 s",8,5,13
"5497","Permanent Residence",2011,"19 s",5,6,11
"5498","Permanent Residence",2012,"19 s",4,8,12
"5499","Permanent Residence",2013,"19 s",7,7,14
"5500","Permanent Residence",2014,"19 s",9,6,15
"5501","Permanent Residence",2015,"19 s",7,11,18
"5502","Permanent Residence",2016,"19 s",7,7,14
"5503","Permanent Residence",2017,"19 s",4,6,10
"5504","Permanent Residence",2018,"19 s",3,7,10
"5505","Permanent Residence",2019,"19 s",3,3,6
"5506","Marriage Immigration",2011,"19 s",NA,49,49
"5507","Marriage Immigration",2012,"19 s",NA,1145,1145
"5508","Marriage Immigration",2013,"19 s",0,981,981
"5509","Marriage Immigration",2014,"19 s",0,587,587
"5510","Marriage Immigration",2015,"19 s",0,666,666
"5511","Marriage Immigration",2016,"19 s",0,739,739
"5512","Marriage Immigration",2017,"19 s",1,625,626
"5513","Marriage Immigration",2018,"19 s",1,637,638
"5514","Marriage Immigration",2019,"19 s",2,710,712
"5515","Total",2000,"20 s",2565,2770,5335
"5516","Total",2001,"20 s",1615,2351,3966
"5517","Total",2002,"20 s",2096,2615,4711
"5518","Total",2003,"20 s",2317,2379,4696
"5519","Total",2004,"20 s",2053,2487,4540
"5520","Total",2005,"20 s",3772,3352,7124
"5521","Total",2006,"20 s",4599,4763,9362
"5522","Total",2007,"20 s",5321,6029,11350
"5523","Total",2008,"20 s",6142,6736,12878
"5524","Total",2009,"20 s",3699,5423,9122
"5525","Total",2010,"20 s",4495,6429,10924
"5526","Total",2011,"20 s",5376,5974,11350
"5527","Total",2012,"20 s",5597,6081,11678
"5528","Total",2013,"20 s",5306,6352,11658
"5529","Total",2014,"20 s",5518,7092,12610
"5530","Total",2015,"20 s",5749,7617,13366
"5531","Total",2016,"20 s",6421,8679,15100
"5532","Total",2017,"20 s",7172,9273,16445
"5533","Total",2018,"20 s",8706,10280,18986
"5534","Total",2019,"20 s",7352,9309,16661
"5535","Sightseeing Pass",2000,"20 s",127,113,240
"5536","Sightseeing Pass",2001,"20 s",197,139,336
"5537","Sightseeing Pass",2002,"20 s",210,166,376
"5538","Sightseeing Pass",2003,"20 s",87,98,185
"5539","Sightseeing Pass",2004,"20 s",98,120,218
"5540","Sightseeing Pass",2005,"20 s",87,112,199
"5541","Sightseeing Pass",2006,"20 s",97,100,197
"5542","Sightseeing Pass",2007,"20 s",106,121,227
"5543","Sightseeing Pass",2008,"20 s",176,167,343
"5544","Sightseeing Pass",2009,"20 s",192,209,401
"5545","Sightseeing Pass",2010,"20 s",293,278,571
"5546","Sightseeing Pass",2011,"20 s",225,288,513
"5547","Sightseeing Pass",2012,"20 s",204,232,436
"5548","Sightseeing Pass",2013,"20 s",163,189,352
"5549","Sightseeing Pass",2014,"20 s",183,180,363
"5550","Sightseeing Pass",2015,"20 s",206,183,389
"5551","Sightseeing Pass",2016,"20 s",165,174,339
"5552","Sightseeing Pass",2017,"20 s",124,178,302
"5553","Sightseeing Pass",2018,"20 s",196,174,370
"5554","Sightseeing Pass",2019,"20 s",105,154,259
"5555","Short-term Business",2000,"20 s",104,36,140
"5556","Short-term Business",2001,"20 s",114,69,183
"5557","Short-term Business",2002,"20 s",93,61,154
"5558","Short-term Business",2003,"20 s",36,51,87
"5559","Short-term Business",2004,"20 s",47,27,74
"5560","Short-term Business",2005,"20 s",32,23,55
"5561","Short-term Business",2006,"20 s",110,56,166
"5562","Short-term Business",2007,"20 s",190,97,287
"5563","Short-term Business",2008,"20 s",113,42,155
"5564","Short-term Business",2009,"20 s",34,9,43
"5565","Short-term Business",2010,"20 s",30,1,31
"5566","Short-term Business",2011,"20 s",31,2,33
"5567","Short-term Visitors",2000,"20 s",310,252,562
"5568","Short-term Visitors",2001,"20 s",282,206,488
"5569","Short-term Visitors",2002,"20 s",498,350,848
"5570","Short-term Visitors",2003,"20 s",315,327,642
"5571","Short-term Visitors",2004,"20 s",279,205,484
"5572","Short-term Visitors",2005,"20 s",289,274,563
"5573","Short-term Visitors",2006,"20 s",414,409,823
"5574","Short-term Visitors",2007,"20 s",529,466,995
"5575","Short-term Visitors",2008,"20 s",393,399,792
"5576","Short-term Visitors",2009,"20 s",172,205,377
"5577","Short-term Visitors",2010,"20 s",247,252,499
"5578","Short-term Visitors",2011,"20 s",358,280,638
"5579","Short-term Visitors",2012,"20 s",492,390,882
"5580","Short-term Visitors",2013,"20 s",627,454,1081
"5581","Short-term Visitors",2014,"20 s",361,300,661
"5582","Short-term Visitors",2015,"20 s",463,374,837
"5583","Short-term Visitors",2016,"20 s",291,233,524
"5584","Short-term Visitors",2017,"20 s",302,238,540
"5585","Short-term Visitors",2018,"20 s",496,300,796
"5586","Short-term Visitors",2019,"20 s",371,225,596
"5587","Short-term Employment",2000,"20 s",4,2,6
"5588","Short-term Employment",2001,"20 s",3,7,10
"5589","Short-term Employment",2002,"20 s",7,6,13
"5590","Short-term Employment",2003,"20 s",6,10,16
"5591","Short-term Employment",2004,"20 s",6,11,17
"5592","Short-term Employment",2005,"20 s",4,6,10
"5593","Short-term Employment",2006,"20 s",9,10,19
"5594","Short-term Employment",2007,"20 s",11,12,23
"5595","Short-term Employment",2008,"20 s",22,14,36
"5596","Short-term Employment",2009,"20 s",2,6,8
"5597","Short-term Employment",2010,"20 s",3,8,11
"5598","Short-term Employment",2011,"20 s",5,2,7
"5599","Short-term Employment",2012,"20 s",5,5,10
"5600","Short-term Employment",2013,"20 s",3,4,7
"5601","Short-term Employment",2014,"20 s",0,3,3
"5602","Short-term Employment",2015,"20 s",2,2,4
"5603","Short-term Employment",2016,"20 s",0,2,2
"5604","Short-term Employment",2017,"20 s",2,3,5
"5605","Short-term Employment",2018,"20 s",1,0,1
"5606","Short-term Employment",2019,"20 s",3,6,9
"5607","Job Seeking",2000,"20 s",0,0,0
"5608","Job Seeking",2001,"20 s",0,0,0
"5609","Job Seeking",2002,"20 s",0,0,0
"5610","Job Seeking",2003,"20 s",0,0,0
"5611","Job Seeking",2004,"20 s",0,0,0
"5612","Job Seeking",2005,"20 s",0,0,0
"5613","Job Seeking",2006,"20 s",0,0,0
"5614","Job Seeking",2007,"20 s",0,0,0
"5615","Job Seeking",2008,"20 s",0,0,0
"5616","Job Seeking",2009,"20 s",0,0,0
"5617","Job Seeking",2010,"20 s",0,0,0
"5618","Job Seeking",2018,"20 s",0,1,1
"5619","study",2000,"20 s",70,111,181
"5620","study",2001,"20 s",95,180,275
"5621","study",2002,"20 s",145,297,442
"5622","study",2003,"20 s",226,378,604
"5623","study",2004,"20 s",410,672,1082
"5624","study",2005,"20 s",586,818,1404
"5625","study",2006,"20 s",1032,1256,2288
"5626","study",2007,"20 s",1323,1813,3136
"5627","study",2008,"20 s",1315,2123,3438
"5628","study",2009,"20 s",1144,2182,3326
"5629","study",2010,"20 s",1081,2486,3567
"5630","study",2011,"20 s",864,2293,3157
"5631","study",2012,"20 s",745,2169,2914
"5632","study",2013,"20 s",919,3057,3976
"5633","study",2014,"20 s",1181,3851,5032
"5634","study",2015,"20 s",1292,4306,5598
"5635","study",2016,"20 s",1434,5109,6543
"5636","study",2017,"20 s",1583,4928,6511
"5637","study",2018,"20 s",1965,5574,7539
"5638","study",2019,"20 s",1865,5230,7095
"5639","General Trainees",2000,"20 s",48,79,127
"5640","General Trainees",2001,"20 s",56,83,139
"5641","General Trainees",2002,"20 s",80,74,154
"5642","General Trainees",2003,"20 s",114,139,253
"5643","General Trainees",2004,"20 s",263,247,510
"5644","General Trainees",2005,"20 s",257,257,514
"5645","General Trainees",2006,"20 s",719,636,1355
"5646","General Trainees",2007,"20 s",1472,1138,2610
"5647","General Trainees",2008,"20 s",1390,1146,2536
"5648","General Trainees",2009,"20 s",1006,942,1948
"5649","General Trainees",2010,"20 s",868,936,1804
"5650","General Trainees",2011,"20 s",870,867,1737
"5651","General Trainees",2012,"20 s",677,800,1477
"5652","General Trainees",2013,"20 s",635,764,1399
"5653","General Trainees",2014,"20 s",713,921,1634
"5654","General Trainees",2015,"20 s",922,1165,2087
"5655","General Trainees",2016,"20 s",1397,1373,2770
"5656","General Trainees",2017,"20 s",1883,1440,3323
"5657","General Trainees",2018,"20 s",2107,1501,3608
"5658","General Trainees",2019,"20 s",1556,1329,2885
"5659","Religious Activities",2000,"20 s",21,6,27
"5660","Religious Activities",2001,"20 s",13,9,22
"5661","Religious Activities",2002,"20 s",19,5,24
"5662","Religious Activities",2003,"20 s",16,8,24
"5663","Religious Activities",2004,"20 s",23,6,29
"5664","Religious Activities",2005,"20 s",17,5,22
"5665","Religious Activities",2006,"20 s",31,6,37
"5666","Religious Activities",2007,"20 s",18,2,20
"5667","Religious Activities",2008,"20 s",20,7,27
"5668","Religious Activities",2009,"20 s",10,3,13
"5669","Religious Activities",2010,"20 s",21,6,27
"5670","Religious Activities",2011,"20 s",6,6,12
"5671","Religious Activities",2012,"20 s",112,453,565
"5672","Religious Activities",2013,"20 s",19,49,68
"5673","Religious Activities",2014,"20 s",14,15,29
"5674","Religious Activities",2015,"20 s",13,19,32
"5675","Religious Activities",2016,"20 s",10,20,30
"5676","Religious Activities",2017,"20 s",10,21,31
"5677","Religious Activities",2018,"20 s",8,15,23
"5678","Religious Activities",2019,"20 s",6,14,20
